client,vendor_id,vendor_name,vendor_type,status,email,contact_name,all_emails,website,additional_notes,address,city,region,country,postal_code,documents_count,non_responsive_since,last_request_sent,external_codes,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",69fded1362446148bd848d5a,Elliott Electric Supply Inc,Party,active,ericaanderson@elliottelectric.com,,ericaanderson@elliottelectric.com,,,"10917 Mill Creek Road, Shawnee, Kansas, 66217",Shawnee,Kansas,United States,66217,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1362446148bd848d5d,Elysian Salon and Spa LLC,Party,active,elysiansas@gmail.com,,elysiansas@gmail.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1362446148bd848d60,Emerson Ecologics LLC,Party,active,ap@fullscript.com,,ap@fullscript.com,,,"1230 Elm Street, Manchester, New Hampshire, 03101",Manchester,New Hampshire,United States,03101,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1362446148bd848d63,Employers Mutual Casualty Company,Party,active,realestatefleet.facility@emcins.com,,realestatefleet.facility@emcins.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d66,"EnerSys Delaware, Inc",Party,active,realestateleases@enersys.com,,realestateleases@enersys.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d69,Engaged Holdings LLC,Party,active,dplattner@engagedfinance.com,,dplattner@engagedfinance.com,,,"Missouri 45, Missouri",,Missouri,United States,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d6c,Engineering Design & Testing Corporation,Party,active,rwisor@edtengineers.com,,rwisor@edtengineers.com,,,"1105 State Street, Cayce, South Carolina, 29033",Cayce,South Carolina,United States,29033,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d6f,Enterprise Leasing Company of Kansas,Party,active,tony.mckinnis@erac.com,,tony.mckinnis@erac.com; sdougherty@blockllc.com,,,"10661 Metcalf Avenue, Overland Park, Kansas, 66212",Overland Park,Kansas,United States,66212,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d72,"Enterprise Leasing Company of KS, LLC",Party,active,Michelle.K.Kay@ehi.com,,Michelle.K.Kay@ehi.com; todd.a.parker@ehi.com,,,"5359 Merriam Drive, Shawnee, Kansas, 66203",Shawnee,Kansas,United States,66203,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d75,Equipmentshare.com Inc,Party,active,rent@equipmentshare.com,,rent@equipmentshare.com,,,"5710 Bull Run Drive, Columbia, Missouri, 65201",Columbia,Missouri,United States,65201,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d78,Erin McCandless Massage,Party,active,erin.in.touch.massage.op@gmail.com,,erin.in.touch.massage.op@gmail.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d7b,Essense of Australia Inc,Party,active,ap-us@essensedesigns.com,,ap-us@essensedesigns.com,,,"11066 Strang Line Road, Lenexa, Kansas, 66215",Lenexa,Kansas,United States,66215,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d7e,Evalinesthetics,Party,active,evalinesthetics@gmail.com,,evalinesthetics@gmail.com,,,"1719 1/2 West 39th Street, Kansas City, Missouri, 64111",Kansas City,Missouri,United States,64111,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d81,Excel Automation LLC,Party,active,accounting@excelautomationinc.com,,accounting@excelautomationinc.com,,,"2967 Nationwide Parkway, Brunswick, Ohio, 44212",Brunswick,Ohio,United States,44212,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d84,Experitec Inc,Party,active,accounts.payable@experitec.com,,accounts.payable@experitec.com,,,"504 Trade Center Boulevard, Chesterfield, Missouri, 63005",Chesterfield,Missouri,United States,63005,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d87,Express Hardwood Floors LLC,Party,active,bruno@expresswoodfloors.com,,bruno@expresswoodfloors.com,,,"14288 West 129th Terrace, Olathe, Kansas, 66062",Olathe,Kansas,United States,66062,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d8a,F & M Traders LLC,Party,active,obaid79@hotmail.com,,obaid79@hotmail.com,,,"4036 Northwest Riverside Street, Kansas City, Missouri, 64150",Kansas City,Missouri,United States,64150,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d8d,Faith Technologies Inc,Party,active,Payables@faithtechinc.com,,Payables@faithtechinc.com; josephj.schneider@faithtechinc.com,,,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,United States,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d90,"Farm & Home Builders, Inc",Party,active,danoppen@aol.com,,danoppen@aol.com; sdougherty@blockllc.com,,,"234 Northwest Plaza Drive, Riverside, Missouri, 64150",Riverside,Missouri,United States,64150,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d93,Fastenal Company,Party,active,propertyadmin@fastenal.com,,propertyadmin@fastenal.com,,,"Winona, Minnesota, 55987",Winona,Minnesota,United States,55987,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d96,FastSigns,Party,active,Accounting.223@fastsigns.com,,Accounting.223@fastsigns.com,,,"17331 East 40th Street, Independence, Missouri, 64055",Independence,Missouri,United States,64055,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d99,Fedex Office and Print Services Inc,Party,active,lease.administration@fedex.com,,lease.administration@fedex.com,,,"7900 Legacy Drive, Plano, Texas, 75024",Plano,Texas,United States,75024,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d9c,"Fey, LLC",Party,active,dfey@feyllc.com,,dfey@feyllc.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848d9f,FILGR LLC,Party,active,pop@popculturekc.com,,pop@popculturekc.com,,,"801 South Franklin Street, Raymore, Missouri, 64083",Raymore,Missouri,United States,64083,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848da2,"Fine Line Graphics, Inc.",Party,active,aberthelette@flgcorp.com,,aberthelette@flgcorp.com,,,"14 Breakneck Hill Road, Lincoln, Rhode Island, 02865",Lincoln,Rhode Island,United States,02865,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848da5,Fireplace & Bar-B-Q Center Inc,Party,active,ckelly@fireplacecenterkc.com,,ckelly@fireplacecenterkc.com,,,"10470 Metcalf Avenue, Overland Park, Kansas, 66212",Overland Park,Kansas,United States,66212,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848da8,"First Biomedical, Inc",Party,active,AccountsPayable@Infusystem.com,,AccountsPayable@Infusystem.com,,,"3851 West Hamlin Road, Rochester Hills, Michigan, 48309",Rochester Hills,Michigan,United States,48309,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848dab,First Church of Christ Scientist,Party,active,,,,,,"6401 West 87th Street, Overland Park, Kansas, 66212",Overland Park,Kansas,United States,66212,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848dae,First Citizens Bank & Trust Company,Party,active,crelease@firstcitizens.com,,crelease@firstcitizens.com,,,"1299 Farnam Street, Omaha, Nebraska, 68102",Omaha,Nebraska,United States,68102,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1462446148bd848db1,First Key Homes,Party,active,officeleases@firstkeyhomes.com,,officeleases@firstkeyhomes.com,,,"1850 Parkway Place, Marietta, Georgia, 30067",Marietta,Georgia,United States,30067,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848db4,First Watch,Party,active,leases@firstwatch.com,,leases@firstwatch.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848db7,Fisher & Phillips LLC,Party,active,rpeterson@fisherphillips.com,,rpeterson@fisherphillips.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dba,"Five Clothes, LLC",Party,active,jenny@helenjon.com,,jenny@helenjon.com,,,"8251 Melrose Drive, Lenexa, Kansas, 66214",Lenexa,Kansas,United States,66214,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dbd,"FleetPride, Inc",Party,active,FleetPride@cushwake.com,,FleetPride@cushwake.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dc0,Force America Inc,Party,active,ap_invoices@forceamerica.com,,ap_invoices@forceamerica.com,,,"8633 Eagle Creek Parkway, Savage, Minnesota, 55378",Savage,Minnesota,United States,55378,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dc3,Fort Scott Regional Dialysis Center Inc #4654,Party,active,helen.acevedo@freseniusmedicalcare.com,,helen.acevedo@freseniusmedicalcare.com,,,"Waltham, Massachusetts, 02451",Waltham,Massachusetts,United States,02451,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dc6,Foxx Equipment Company,Party,active,ap@foxxequipment.com,,ap@foxxequipment.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dc9,Freightsnap LLC,Party,active,mike@freightsnap.com,,mike@freightsnap.com,,,"7327 Hardy Street, Overland Park, Kansas, 66204",Overland Park,Kansas,United States,66204,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dcc,"Freirich & Katz, L.C. and JD Rosen CPA, PA",Party,active,dfreirich@fkcpa.net,,dfreirich@fkcpa.net,,,"2309 West 69th Street, Mission Hills, Kansas, 66208",Mission Hills,Kansas,United States,66208,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dcf,Frey Commodities USA Inc,Party,active,,,,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dd2,"Friends of the Jo Co Library, Inc.",Party,active,hickamc@friendsofjcl.org,,hickamc@friendsofjcl.org,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dd5,FS Investment Services Inc,Party,active,invoices@fsinvestments.com,,invoices@fsinvestments.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dd8,"Future Foam, Inc",Party,active,ckelly@futurefoam.com,,ckelly@futurefoam.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848ddb,G & C Restoration LLC,Party,active,laci@servprols.com,,laci@servprols.com,,,"1001 West Hunters Ridge, Lone Jack, Missouri, 64086",Lone Jack,Missouri,United States,64086,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dde,G3 Industrial Solutions LLC,Party,active,chad.gooding@g3ind.com,,chad.gooding@g3ind.com,,,"8291 Melrose Drive, Lenexa, Kansas, 66214",Lenexa,Kansas,United States,66214,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848de1,G5 Enterprises Inc,Party,active,acctspay@bolivarinsulation.com,,acctspay@bolivarinsulation.com,,,"2050 East Trafficway Street, Springfield, Missouri, 65802",Springfield,Missouri,United States,65802,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848de4,Gabe Hunninghake,Party,active,gabe@vitev.com,,gabe@vitev.com,,,"919 East 29th Street, Lawrence, Kansas, 66046",Lawrence,Kansas,United States,66046,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848de7,Gantry Inc,Party,active,Accounting@gantryinc.com,,Accounting@gantryinc.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dea,Garage Experts of Kansas City,Party,active,steve.novak@garageexperts.com,,steve.novak@garageexperts.com,,,"5805 Bedford, Kansas City, Missouri, 64151",Kansas City,Missouri,United States,64151,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848ded,"Gas Equipment, Inc",Party,active,gecap@gasequipment.com,,gecap@gasequipment.com; ablaufuss@blockllc.com,,,"1536 Hutton Drive, Carrollton, Texas, 75006",Carrollton,Texas,United States,75006,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848df0,Gateway Spine & Joint LLC,Party,active,info@gatewayinjuryclinic.com,,info@gatewayinjuryclinic.com,,,"800 West 47th Street, Kansas City, Missouri, 64112",Kansas City,Missouri,United States,64112,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848df3,Generate-Ubiquity Management LLC,Party,active,,,,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848df6,Genuine Parts Company KC,Party,active,lease_manager@genpt.com,,lease_manager@genpt.com,,,"11820 Blue Ridge Boulevard, Kansas City, Missouri, 64134",Kansas City,Missouri,United States,64134,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848df9,Genuine Parts Company ATL,Party,active,lease_manager@genpt.com,,lease_manager@genpt.com,,,"3100 Windy Hill Road Southeast, Atlanta, Georgia, 30339",Atlanta,Georgia,United States,30339,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1562446148bd848dfc,George and Kelsey Krischer,Party,active,gkrischer@gmail.com,,gkrischer@gmail.com,,,"3909 Bell Street, Kansas City, Missouri, 64111",Kansas City,Missouri,United States,64111,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848dff,Geotechnology LLC,Party,active,ahaegele@teamues.com,,ahaegele@teamues.com,,,"11816 Lackland Road, St. Louis, Missouri, 63146",St. Louis,Missouri,United States,63146,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e02,GMRG ACQ 1 LLC #034258,Party,active,grandmere@propertyworks.com,,grandmere@propertyworks.com,,,"12705 South Mur-Len Road, Olathe, Kansas, 66062",Olathe,Kansas,United States,66062,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e05,GMRG ACQ LLC,Party,active,grandmere@propertyworks.com,,grandmere@propertyworks.com,,,"Wichita, Kansas, 67278",Wichita,Kansas,United States,67278,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e08,GNC (Store #581-02),Party,active,matthew-zamba@gnc-hq.com,,matthew-zamba@gnc-hq.com,,,"75 Hopper Place, Pittsburgh, Pennsylvania, 15222",Pittsburgh,Pennsylvania,United States,15222,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e0b,GOBRANDS Inc,Party,active,rent@gopuff.com,,rent@gopuff.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e0e,"Golden Distributing Company, Inc.",Party,active,goldendistributingco@yahoo.com,,goldendistributingco@yahoo.com; ldewitt@crownmedrealty.com,,,"Riverside, Missouri, 64168",Riverside,Missouri,United States,64168,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e11,Google Fiber Inc,Party,active,docs-leaseadmin@google.com,,docs-leaseadmin@google.com,,,"1600 Amphitheatre Parkway, Mountain View, California, 94043",Mountain View,California,United States,94043,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e14,Grain Valley Chop Shop,Party,active,zamora.gerardo10@gmail.com,,zamora.gerardo10@gmail.com,,,"1404 Southwest Eagles Parkway, Grain Valley, Missouri, 64029",Grain Valley,Missouri,United States,64029,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e17,Grain Valley School District,Party,active,accountspayable@gvr5.net,,accountspayable@gvr5.net,,,"Grain Valley, Missouri",Grain Valley,Missouri,United States,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e1a,Great Day Improvements LLC,Party,active,Sherry.Myers@greatdayimprovements.com,,Sherry.Myers@greatdayimprovements.com,,,"700 Highland Road, Macedonia, Ohio, 44056",Macedonia,Ohio,United States,44056,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e1d,Great River Engineering LLC,Party,active,Abuckley@greatriv.com,,Abuckley@greatriv.com,,,"908 Broadway Boulevard, Kansas City, Missouri, 64105",Kansas City,Missouri,United States,64105,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e20,Green Resource Management Inc,Party,active,,,,,,"1000 Thomas Beck Road, Des Moines, Iowa, 50315",Des Moines,Iowa,United States,50315,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e23,Grocery Delivery Logistics Inc,Party,active,gdlinvoices@hellofresh.com,,gdlinvoices@hellofresh.com,,,"28 Liberty Street, New York, New York, 10005",New York,New York,United States,10005,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e26,GS Operating LLC dba Gexpro Services,Party,active,zgreenwade@gexproservices.com,,zgreenwade@gexproservices.com,,,"9500 North Royal Lane, Irving, Texas, 75063",Irving,Texas,United States,75063,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e29,GSA,Party,active,,,,,,"2312 Bannister Road, Kansas City, Missouri, 64131",Kansas City,Missouri,United States,64131,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e2c,Guardian Water & Air Systems LLC,Party,active,debrak@llwholesale.com,,debrak@llwholesale.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e2f,Gunn & Richards Inc,Party,active,customerservice@vials.com,,customerservice@vials.com,,,"10800 Strang Line Road, Lenexa, Kansas, 66215",Lenexa,Kansas,United States,66215,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e32,H & R Block Enterprises LLC,Party,active,Geoffrey.Hibbs@cushwake.com,,Geoffrey.Hibbs@cushwake.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e35,H M Cragg Co,Party,active,ap@hmcragg.com,,ap@hmcragg.com,,,"7490 Bush Lake Road, Edina, Minnesota, 55439",Edina,Minnesota,United States,55439,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e38,H&R Block 24167,Party,active,hrbleaseadmin.mo.amer@cushwake.com,,hrbleaseadmin.mo.amer@cushwake.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e3b,Halle Properties LLC,Party,active,realestatedept@discounttire.com,,realestatedept@discounttire.com,,,"20225 North Scottsdale Road, Scottsdale, Arizona, 85255",Scottsdale,Arizona,United States,85255,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e3e,"Harbor Freight Tools USA, Inc",Party,active,LeaseAdmin@harborfreight.com,,LeaseAdmin@harborfreight.com,,,"26677 Agoura Road, Calabasas, California, 91302",Calabasas,California,United States,91302,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e41,Hartfiel,Party,active,acctspayable@hartfiel.com,,acctspayable@hartfiel.com,,,"6533 Flying Cloud Drive, Eden Prairie, Minnesota, 55344",Eden Prairie,Minnesota,United States,55344,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1662446148bd848e44,HCA Realty,Party,active,daniel.dion@healthtrustpg.com,,daniel.dion@healthtrustpg.com,,,"Park Plaza, Nashville, Tennessee, 37203",Nashville,Tennessee,United States,37203,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e47,HD Supply,Party,active,leaseadministration@hdsupply.com,,leaseadministration@hdsupply.com,,,"3400 Cumberland Boulevard Southeast, Atlanta, Georgia, 30339",Atlanta,Georgia,United States,30339,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e4a,Healthy Meals Inc,Party,active,stkluck@gmail.com,,stkluck@gmail.com,,,"204 Northwest Platte Valley Drive, Riverside, Missouri, 64150",Riverside,Missouri,United States,64150,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e4d,Heather Laird,Party,active,heather@wrightlairdcasting.com,,heather@wrightlairdcasting.com,,,"1719 West 39th Street, Kansas City, Missouri, 64111",Kansas City,Missouri,United States,64111,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e50,HEB KS LLC,Party,active,jkeough@hoari.com,,jkeough@hoari.com,,,"1501 River Drive, Moline, Illinois, 61265",Moline,Illinois,United States,61265,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e53,Henderson Engineers Inc,Party,active,AP@hendersonengineers.com,,AP@hendersonengineers.com,,,"8428 Melrose Drive, Lenexa, Kansas, 66214",Lenexa,Kansas,United States,66214,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e56,Hennessy Enterprises LLC,Party,active,accounting@unionhorse.com,,accounting@unionhorse.com,,,"8745 Mission Road, Leawood, Kansas, 66206",Leawood,Kansas,United States,66206,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e59,Hensley Electric Inc,Party,active,mandi@hensleyelectric.com,,mandi@hensleyelectric.com,,,"7911 Bond Street, Overland Park, Kansas, 66214",Overland Park,Kansas,United States,66214,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e5c,"Heritage First, Inc.",Party,active,dlueke@heritagefirst.net,,dlueke@heritagefirst.net,,,"800 West 47th Street, Kansas City, Missouri, 64112",Kansas City,Missouri,United States,64112,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e5f,Hibbett Sports,Party,active,lease.admin@hibbett.com,,lease.admin@hibbett.com,,,"2700 Milan Court, Birmingham, Alabama, 35211",Birmingham,Alabama,United States,35211,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e62,Hoambrecker Enterprises LLC,Party,active,ahoambrecker@hpekc.com,,ahoambrecker@hpekc.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e65,"Hoang Tran Nhat Pham, Phuoc Duc Ngo and Binh Xuan Nguyen",Party,active,springnailsbs@yahoo.com,,springnailsbs@yahoo.com,,,"313 Northeast Vivion Road, Kansas City, Missouri, 64118",Kansas City,Missouri,United States,64118,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e68,Hoefer Welker LLC,Party,active,jenica.jones@hoeferwelker.com,,jenica.jones@hoeferwelker.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e6b,"Horizon Systems, Inc.",Party,active,crystalh@horizonsystemsinc.com,,crystalh@horizonsystemsinc.com,,,"1101 Horizon Drive, Lawrence, Kansas, 66046",Lawrence,Kansas,United States,66046,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e6e,Hot Dog Design LLC,Party,active,justin@hotdog.design,,justin@hotdog.design,,,"8820 Foster Lane, Overland Park, Kansas, 66212",Overland Park,Kansas,United States,66212,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e71,Hughes Machinery Company,Party,active,realestate@applied.com,,realestate@applied.com,,,,,,,,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e74,Husqvarna Construction Products North America Inc,Party,active,hcp.ap@husqvarnagroup.com,,hcp.ap@husqvarnagroup.com,,,"17400 West 119th Street, Olathe, Kansas, 66061",Olathe,Kansas,United States,66061,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e77,Hyalogic LLC,Party,active,ap@hyalogic.com,,ap@hyalogic.com,,,"610 Northwest Platte Valley Drive, Riverside, Missouri, 64150",Riverside,Missouri,United States,64150,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e7a,Hydro Extrusion USA LLC,Party,active,jane.ellen.fields@hydro.com,,jane.ellen.fields@hydro.com,,,"114 Northwest Plaza Drive, Riverside, Missouri, 64150",Riverside,Missouri,United States,64150,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e7d,Hy-Vee Inc,Party,active,jummach@hy-vee.com,,jummach@hy-vee.com,,,"5820 Westown Parkway, West Des Moines, Iowa, 50266",West Des Moines,Iowa,United States,50266,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e80,IBA Molecular North Am In,Party,active,payables@sofie.com,,payables@sofie.com,,,"100 Executive Drive, Sterling, Virginia, 20166",Sterling,Virginia,United States,20166,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e83,"Image Quest, Inc",Party,active,Xerox-GIS-LeaseAdmin@jll.com,,Xerox-GIS-LeaseAdmin@jll.com,,,"260 Forbes Avenue, Pittsburgh, Pennsylvania, 15222",Pittsburgh,Pennsylvania,United States,15222,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded1762446148bd848e86,Infinity Fasteners Inc,Party,active,melindar@infinityfast.com,,melindar@infinityfast.com,,,"17451 College Boulevard, Lenexa, Kansas, 66219",Lenexa,Kansas,United States,66219,0,,,,2026-05-08,2026-05-08,2026-05-13
